id,Title,Authors,Description,Category,Publisher,Publish Date,impressions,clicks
72229,Off the Map: The Curious Histories of Place-Names,"By Nelson, Derek","The names of places can reflect linguistic or ethnic conflicts; errors in boundary-setting and mapmaking; or the story of the exploration, conquest, or liberation of the area. The author's extensive discussion of the history of cartography notes the degree to which the discipline has been influenced by ignorance, mythic beliefs, greed, and politics. Includes numerous reproductions of old maps. Annotation c. by Book News, Inc., Portland, Or."," Science , Earth Sciences , Geography",Kodansha Amer Inc,"Saturday, November 1, 1997",0,0
61991,Always Time to Die,"By Lowell, Elizabeth","Former U.S. Senator Quintrell is dead.His son, New Mexico's governor, is preparing hisrun for the highest political office in the land.And dark family secrets are about to explode with the devastating force of a Southwestern earthquake.An eccentric Quintrell aunt has invited genealogist Carolina ""Carly"" May to their Taos compound to compile a record of the illustrious family. But digging into the past is raising troubling questions about a would-be president's private life . . . and the grisly street crime that left his drug-addicted sister dead. As a dark world of twisted passions and depravity slowly opens up before Carly, there is no one whom she dares trust -- perhaps least of all Dan Duran, a dangerous, haunted enigma who's tied to the Quintrells' history. But she will need an ally to survive the terrible mysteries a father carried to the grave -- because following the bloodlines of the powerful can be a bloody business. And some dead secrets can kill."," Fiction , Romance , General",Avon,"Monday, May 1, 2006",0,0
63082,English Ivy: English Ivy Series #1 (HeartQuest),"By Palmer, Catherine","On the eve of her 21st birthday, Ivy Bowden has much to anticipate. Engaged to be married to the man her father has chosen for her, Ivy dreams of a secure, contented future. But when she finds herself in the arms of her roguish neighbor, her world is thrown into complete disarray. Ivy must choose to submit to her family's choice, follow the leading of her willful heart—or obey her Father's will."," Fiction , Romance , Historical , Regency",Tyndale House Publishers,"Friday, February 1, 2002",0,0
26597,The Oxford Book of Legal Anecdotes (Oxford Paperbacks),"By Gilbert, Michael","The law has captured the public's attention and imagination for centuries, with its servants demonstrating time and again their fallibility.  A former lawyer and celebrated crime writer, Michael Gilbert has compiled a vastly entertaining collection of over three hundred fifty anecdotes about legal goings-on over the past two hundred fifty years, and about the individuals who have won distinction in the legal profession. Drawn from the reminiscences of lawyers, criminals, witnesses, and clerks, these irresistibly readable stories present the foibles as well as the authority of judges and other legal practitioners.     We find many celebrated legal battles retold here, including Edward Carson's cross-examination of Oscar Wilde and Clarence Darrow's defense of J.T. Scopes for teaching the theory of evolution.  We also discover countless less-familiar treasures such as the story of the letter received by Judge Benjamin Cardozo which said: ""I read in the newspapers that you are a liberal judge. Will you send me ten dollars as I'm really very hard up.""      Gilbert has arranged the entries alphabetically by the name of their principal subject.  He also includes headnotes which set the context and describe each subject's occupation (i.e. ""judge"", ""attorney general"") and a useful note which explains the differences between the British, European, and American legal systems."," Medical , Hematology",Oxford University Press,"Friday, December 1, 1989",0,0
45586,Heartwood,"By Burke, James Lee","Heartwood is a kind of tree that grows in layers. And as Billy Bob's grandfather once told him, you do well in life by keeping the roots in a clear stream and not letting anyone taint the water for you. But in Holland's dusty little hometown of Deaf Smith, in the hill country north of Austin, local kingpin Earl Deitrich has made a fortune running roughshod and tainting anyone who stands in his way. Billy Bob has problems with Deitrich and his shamelessly callous demeanor, but can't shake the legacy of his passion for Deitrich's ""heartbreak-beautiful"" wife, Peggy Jean.When Holland takes on the defense of Wilbur Pickett - a man accused of stealing an heirloom and three hundred thousand dollars in bonds from Deitrich's office - he finds himself up against not only Earl's power and influence, but also a past Billy Bob can't will away."," Fiction , Thrillers , Suspense",Doubleday,"Sunday, August 1, 1999",0,0
70870,Conagher: A Novel,"By L'Amour, Louis","As far as the eye can see is a vast, empty horizon. Evie Teale has finally accepted that her husband won’t be coming home. To make ends meet she runs a temporary stage station. But though she is diligent and careful, Evie must prepare for the day when the passengers no longer come and she must protect her children in an untamed country where’s it’s far easier to die than to live. Miles away, another solitary soul battles for survival. Conagher is a lean, dark-eyed drifter who is not about to let a gang of rustlers push him around. While searching the isolated canyons for missing cattle, he finds notes tied to tumbleweeds rolling with the wind. The bleak, spare words echo Conagher’s own whispered prayers for companionship. Who is this mysterious woman on the other side of the wind? Conagher only hopes he can stay alive long enough to find her."," Fiction , Westerns",Bantam,"Wednesday, September 1, 1982",0,0
64995,Sports Illustrated: The College Football Book,"By Sports Illustrated (EDT) and Telander, Rick (INT)","A richly illustrated survey of American college football captures some of the most memorable moments and athletes in the history of the sport in compelling action photographs, biographical profiles, statistics, and essays from the pages of Sports Illustrated."," Sports & Recreation , Football",Sports Illustrated,"Wednesday, October 1, 2008",0,0
28381,Outlet Guide to the Mid-Atlantic,"By Miser, A. and Pennypincher, A.","Lists factory outlet stores selling items such as clothes, housewares, sports equipment, and luggage"," Travel , United States , Northeast , Middle Atlantic (NJ, NY, PA)",Globe Pequot,"Tuesday, August 1, 1995",0,0
8792,Clover,"By Sanders, Dori","""Warmly engrossing...Sanders writes with wit and authority in this unusual gem of a love story.""CHICAGO TRIBUNEClover is a 10-year old black girl from a small town in South Carolina, whose life changes forever when her father dies and she is forced to forge a new relationship with the white stepmother she hardly knows. A beautiful, trenchant story of family lost and found, CLOVER is a unque and heartfelt reading experience for all ages."," Fiction , Literary",Ballantine Books,"Monday, April 1, 1991",0,0
42935,Tyler #5: Blazing Star,"By Ellison, Suzanne","Blazing Star by Suzanne Ellison released on May 25, 1992 is available now for purchase."," Fiction , Romance , Historical , General",Harlequin,"Monday, June 1, 1992",0,0
99893,Some Lie and Some Die (Inspector Wexford Mysteries),"By Rendell, Ruth","A mutilated body found at a rock festival.In spite of dire predictions, the rock festival in Kingsmarkham seemed to be going off without a hitch, until the hideously disfigured body is discovered in a nearby quarry. And soon Wexford is investigating the links between a local girl gone bad and a charismatic singer who inspires an unwholesome devotion in his followers. Some Lie and Some Die is a devilishly absorbing novel, in which Wexford's deductive powers come up against the aloof arrogance of pop stardom.  With her Inspector Wexford novels, Ruth Rendell, winner of the Mystery Writers of America Grand Master Award, has added layers of depth, realism and unease to the classic English mystery. For the canny, tireless, and unflappable policeman is an unblinking observer of human nature, whose study has taught him that under certain circumstances the most unlikely people are capable of the most appalling crimes.From the Trade Paperback edition."," Fiction , Mystery & Detective , General",ARROW BOOKS LTD,"Tuesday, January 1, 1974",0,0
75513,Merriam-Webster's Vocabulary Builder,"By Cornog, Mary W.","""The ideal book for people who want to increase their word power. Focuses on more than 1,000 vocabulary words and introduces nearly 2,000 more - all organized by root for effective study. Includes quizzes to test progress."""," Language Arts & Disciplines , Vocabulary",Merriam-Webster Mass Market,"Monday, August 1, 1994",0,0
